epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.666,1.7412,1.08697,1.48493,0.8525,0.82449,0.88081,0.45143,1.69199,0.90565,1.49311,0.000665208,0.000665208,0.000665208
2,289.091,1.67967,0.92923,1.45447,0.86041,0.79759,0.87868,0.4753,1.62683,0.86099,1.46435,0.0013099,0.0013099,0.0013099
3,432.348,1.664,0.91364,1.45663,0.87154,0.82607,0.89588,0.48687,1.58677,0.81029,1.44215,0.00193259,0.00193259,0.00193259
4,575.649,1.64631,0.88506,1.43608,0.85838,0.81223,0.88327,0.47074,1.63831,0.86586,1.47498,0.001901,0.001901,0.001901
5,717.656,1.62731,0.84966,1.42917,0.90495,0.84892,0.92058,0.51369,1.57041,0.7395,1.42992,0.001868,0.001868,0.001868
6,860.225,1.59706,0.82742,1.41435,0.89682,0.86044,0.92188,0.51659,1.56966,0.75082,1.4268,0.001835,0.001835,0.001835
7,1002.57,1.58899,0.81393,1.41223,0.89361,0.86289,0.92357,0.52493,1.52787,0.73528,1.40121,0.001802,0.001802,0.001802
8,1145.81,1.56839,0.79379,1.39852,0.89066,0.86905,0.92351,0.53204,1.51241,0.72736,1.40521,0.001769,0.001769,0.001769
9,1288.27,1.55722,0.77743,1.38378,0.90542,0.86911,0.93199,0.53842,1.50388,0.69182,1.38961,0.001736,0.001736,0.001736
10,1431.1,1.55194,0.77324,1.3892,0.89236,0.86155,0.92102,0.51988,1.51826,0.72497,1.40349,0.001703,0.001703,0.001703
11,1573.15,1.53765,0.76448,1.37771,0.91491,0.88275,0.93924,0.54653,1.50138,0.6684,1.38838,0.00167,0.00167,0.00167
12,1715.76,1.54185,0.75798,1.38235,0.91298,0.88587,0.94054,0.55026,1.4805,0.65238,1.38731,0.001637,0.001637,0.001637
13,1858.5,1.52567,0.74244,1.37712,0.91242,0.88252,0.93876,0.54077,1.51249,0.66353,1.41287,0.001604,0.001604,0.001604
14,2001.05,1.52041,0.73721,1.36615,0.90722,0.87956,0.93553,0.53675,1.51196,0.68672,1.39903,0.001571,0.001571,0.001571
15,2142.18,1.51582,0.73755,1.36578,0.91691,0.88176,0.9398,0.55343,1.47353,0.66807,1.37429,0.001538,0.001538,0.001538
16,2284.05,1.5064,0.72424,1.36239,0.91368,0.88058,0.93966,0.54736,1.48222,0.66003,1.37752,0.001505,0.001505,0.001505
17,2426.48,1.51213,0.72772,1.3677,0.90489,0.87226,0.93261,0.5362,1.50687,0.69108,1.39705,0.001472,0.001472,0.001472
18,2568.1,1.49339,0.71629,1.35829,0.91949,0.8905,0.94462,0.55276,1.47612,0.64451,1.38172,0.001439,0.001439,0.001439
19,2709.67,1.48727,0.70628,1.35375,0.91618,0.89412,0.94637,0.56199,1.46289,0.62288,1.38284,0.001406,0.001406,0.001406
20,2852.29,1.48281,0.70403,1.35407,0.91101,0.89324,0.94437,0.55658,1.46849,0.63274,1.38335,0.001373,0.001373,0.001373
