epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,221.834,1.71424,1.04912,1.47316,0.88013,0.81814,0.8927,0.48481,1.60609,0.85477,1.45123,0.000665499,0.000665499,0.000665499
2,446.581,1.65472,0.90603,1.44364,0.83922,0.81353,0.86874,0.45004,1.58763,0.91809,1.47346,0.00126622,0.00126622,0.00126622
3,669.141,1.62753,0.86634,1.42527,0.88735,0.85765,0.91506,0.50714,1.58454,0.75919,1.43739,0.00180095,0.00180095,0.00180095
4,891.41,1.58997,0.82758,1.40388,0.88427,0.84782,0.91139,0.50965,1.55154,0.78537,1.4359,0.001703,0.001703,0.001703
5,1113.47,1.56811,0.79213,1.38825,0.91241,0.87363,0.93558,0.53976,1.50402,0.69916,1.39115,0.001604,0.001604,0.001604
6,1336.04,1.55652,0.77714,1.38514,0.90671,0.86973,0.93387,0.53662,1.51661,0.71779,1.38854,0.001505,0.001505,0.001505
7,1556.77,1.53565,0.75599,1.37084,0.91427,0.8805,0.93953,0.54681,1.48627,0.68495,1.37848,0.001406,0.001406,0.001406
8,1777.6,1.51141,0.74003,1.3638,0.91466,0.8805,0.93986,0.54956,1.47337,0.66643,1.37798,0.001307,0.001307,0.001307
9,1999.87,1.50327,0.72827,1.35343,0.91427,0.89048,0.94618,0.56152,1.45269,0.65993,1.35883,0.001208,0.001208,0.001208
10,2221.21,1.49871,0.72324,1.35036,0.9132,0.8889,0.9457,0.56354,1.44306,0.66263,1.35793,0.001109,0.001109,0.001109
11,2441.01,1.49219,0.71257,1.34664,0.92533,0.89542,0.9502,0.5688,1.43833,0.63708,1.3479,0.00101,0.00101,0.00101
12,2661.98,1.47931,0.69861,1.34348,0.92016,0.89303,0.94917,0.56961,1.43097,0.64434,1.3619,0.000911,0.000911,0.000911
13,2882.67,1.46073,0.68625,1.33348,0.92507,0.89747,0.95256,0.57906,1.40527,0.6251,1.33075,0.000812,0.000812,0.000812
14,3102.94,1.45483,0.68051,1.33331,0.92242,0.9003,0.95267,0.57942,1.41404,0.60705,1.34178,0.000713,0.000713,0.000713
15,3323.5,1.45448,0.67207,1.3298,0.92849,0.90598,0.95598,0.58654,1.40021,0.5958,1.33872,0.000614,0.000614,0.000614
16,3541.04,1.46575,0.65772,1.37424,0.92407,0.8982,0.9519,0.57804,1.42066,0.61538,1.35595,0.000515,0.000515,0.000515
17,3758.32,1.44273,0.64493,1.35762,0.92949,0.90647,0.9576,0.58751,1.39626,0.58539,1.33688,0.000416,0.000416,0.000416
18,3974.1,1.43433,0.63355,1.35558,0.93,0.90947,0.95844,0.59429,1.38347,0.57618,1.3235,0.000317,0.000317,0.000317
19,4189.64,1.42327,0.62672,1.34505,0.93155,0.91076,0.95996,0.59598,1.37037,0.57693,1.3195,0.000218,0.000218,0.000218
20,4405.82,1.40593,0.61369,1.33609,0.93099,0.91283,0.96086,0.60055,1.36255,0.56136,1.31077,0.000119,0.000119,0.000119
